Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.08234667778015137,0.3128066062927246,0.01930069737136364,0.024810731410980225,0.2595154643058777,-0.018127353861927986,0.12724894285202026,0.13819050788879395,-0.03235635906457901,0.09656655788421631,0.03272753953933716,-0.04512377828359604,0.005607545375823975,-0.0006787478923797607,-0.047545723617076874,0.08305513858795166,0.007444620132446289,0.009034744463860989,0.11970776319503784,-0.08066576719284058,-0.04166995733976364,0.1032819151878357,0.019549399614334106,-0.0672171488404274,0.08423447608947754,0.06099328398704529,-0.07850489765405655,0.0,0.0,0.0,0.03642457723617554,-0.08521723747253418,-0.049151934683322906,0.03058534860610962,0.032659441232681274,-0.05828250199556351,0.011057436466217041,0.05775955319404602,-0.05280198156833649,-0.08174794912338257,0.013955354690551758,-0.01742955483496189,-0.057273924350738525,-0.05019715428352356,-0.07566855847835541,-0.045271873474121094,0.06570374965667725,-0.05575898289680481,-0.059432268142700195,0.09231430292129517,-0.027825171127915382,-0.16905826330184937,0.03966948390007019,-0.03703664243221283,-0.13344138860702515,-0.013086915016174316,-0.06910263001918793,-0.1146240234375,0.0678817629814148,-0.03944405913352966,-0.1274890899658203,0.09485429525375366,-0.00897764228284359
2,-0.08498680591583252,0.3121001124382019,0.020676031708717346,0.024303138256072998,0.25595808029174805,-0.01999189890921116,0.1265859603881836,0.13870084285736084,-0.03712749481201172,0.09032928943634033,0.03806549310684204,-0.05231630057096481,-0.0011714696884155273,0.009145557880401611,-0.055484943091869354,0.08287841081619263,0.005414307117462158,0.00838166568428278,0.12099695205688477,-0.0838402509689331,-0.042578019201755524,0.10574448108673096,0.023365914821624756,-0.06467461585998535,0.08466655015945435,0.05633002519607544,-0.07458560168743134,0.0,0.0,0.0,0.037662506103515625,-0.09006667137145996,-0.052672527730464935,0.033064424991607666,0.03267776966094971,-0.060154177248477936,0.011411786079406738,0.05368897318840027,-0.052682116627693176,-0.08203017711639404,0.014711111783981323,-0.0168942641466856,-0.05955260992050171,-0.05098068714141846,-0.07917162030935287,-0.04487323760986328,0.06776207685470581,-0.056639328598976135,-0.05990326404571533,0.0890052318572998,-0.026164254173636436,-0.17244988679885864,0.03959277272224426,-0.03592336177825928,-0.1380975842475891,-0.010675191879272461,-0.06894183158874512,-0.11838945746421814,0.07076561450958252,-0.03703548014163971,-0.13226142525672913,0.09352797269821167,-0.0048440322279930115
3,-0.08511444926261902,0.3187335133552551,0.020607003942131996,0.023762166500091553,0.2595263719558716,-0.021213805302977562,0.12519627809524536,0.13974010944366455,-0.038929469883441925,0.08514362573623657,0.041899681091308594,-0.054359517991542816,-0.009780347347259521,0.017011046409606934,-0.05749162286520004,0.08335071802139282,0.004560291767120361,0.007740636356174946,0.12042450904846191,-0.08369874954223633,-0.04328484833240509,0.10549026727676392,0.024982601404190063,-0.06620106101036072,0.08454537391662598,0.058678895235061646,-0.07660923898220062,0.0,0.0,0.0,0.03658384084701538,-0.08913075923919678,-0.05047933757305145,0.03300070762634277,0.03383329510688782,-0.05750429630279541,0.011762559413909912,0.05293780565261841,-0.050340183079242706,-0.08213764429092407,0.015665709972381592,-0.016418376937508583,-0.059597551822662354,-0.050181299448013306,-0.07564492523670197,-0.04327261447906494,0.06803536415100098,-0.05275072157382965,-0.057976484298706055,0.08777350187301636,-0.022958336398005486,-0.1720922589302063,0.041927188634872437,-0.035345204174518585,-0.13691681623458862,-0.00687253475189209,-0.0660223513841629,-0.11629736423492432,0.07403916120529175,-0.03365069627761841,-0.12967824935913086,0.0959581732749939,-0.0016074292361736298
4,-0.06321167945861816,0.33216384053230286,0.028694484382867813,0.04028207063674927,0.26702454686164856,-0.011567015200853348,0.13638371229171753,0.13493040204048157,-0.02997554838657379,0.09220904111862183,0.03433433175086975,-0.046097759157419205,-0.015078961849212646,0.01905617117881775,-0.05071006342768669,0.08518540859222412,0.0013010501861572266,0.009875806048512459,0.12115591764450073,-0.08762669563293457,-0.0417453907430172,0.10859358310699463,0.027646124362945557,-0.0648871660232544,0.08976972103118896,0.05849900841712952,-0.07611338794231415,0.0,0.0,0.0,0.0377461314201355,-0.08751952648162842,-0.054518166929483414,0.03774404525756836,0.04405978322029114,-0.06288236379623413,0.01472407579421997,0.059381335973739624,-0.056071486324071884,-0.08395528793334961,0.020484983921051025,-0.01762937381863594,-0.05901232361793518,-0.04434773325920105,-0.07986721396446228,-0.03591787815093994,0.07932844758033752,-0.057441357523202896,-0.049967288970947266,0.09873482584953308,-0.027277424931526184,-0.17329800128936768,0.0522441565990448,-0.03732595220208168,-0.13768014311790466,0.00030040740966796875,-0.06917548179626465,-0.10869398713111877,0.08559003472328186,-0.03599173203110695,-0.11968809366226196,0.11285802721977234,-0.0033452287316322327
5,-0.031397223472595215,0.2966691553592682,0.01808125339448452,0.06312167644500732,0.21790489554405212,-0.007808096706867218,0.11991751194000244,0.08186563849449158,-0.020824044942855835,0.0525282621383667,-0.012295693159103394,-0.036139342933893204,-0.03898453712463379,-0.017242521047592163,-0.04048694297671318,0.07803654670715332,-0.011656790971755981,0.014130163937807083,0.09681212902069092,-0.11550167202949524,-0.030429035425186157,0.09806060791015625,-0.01703813672065735,-0.05179637670516968,0.08930027484893799,0.024572819471359253,-0.06309416145086288,0.0,0.0,0.0,0.016165435314178467,-0.09977522492408752,-0.0460660457611084,0.029825329780578613,0.009669005870819092,-0.052267104387283325,0.020418286323547363,0.0406414270401001,-0.04631458967924118,-0.07235968112945557,0.02963528037071228,-0.02158251777291298,-0.0543590784072876,-0.04362490773200989,-0.06875542551279068,-0.0243302583694458,0.05371430516242981,-0.04710099846124649,-0.0306931734085083,0.08045104146003723,-0.022185906767845154,-0.1428508162498474,0.06913462281227112,-0.046007804572582245,-0.10217958688735962,0.026035964488983154,-0.06790602207183838,-0.07796502113342285,0.09024295210838318,-0.04123668745160103,-0.09281647205352783,0.11211875081062317,-0.017241325229406357
6,-0.026375412940979004,0.2881964147090912,0.025754431262612343,0.06349921226501465,0.2137812077999115,-0.004616433754563332,0.12366223335266113,0.08780369162559509,-0.01974100060760975,0.06542164087295532,0.003451526165008545,-0.03477442264556885,-0.01571589708328247,-0.016308069229125977,-0.03830777853727341,0.07527697086334229,-0.00925716757774353,0.012103145010769367,0.09235090017318726,-0.10839918255805969,-0.03788033127784729,0.09736752510070801,-0.010605186223983765,-0.061119936406612396,0.08466106653213501,0.028285056352615356,-0.07270576804876328,0.0,0.0,0.0,0.01754051446914673,-0.09631943702697754,-0.050240859389305115,0.03473556041717529,0.010560840368270874,-0.05752050131559372,0.022396087646484375,0.03579410910606384,-0.05204722285270691,-0.06990009546279907,0.027717113494873047,-0.019814828410744667,-0.05058640241622925,-0.03689754009246826,-0.07352635264396667,-0.01967829465866089,0.06124165654182434,-0.05350416153669357,-0.030212223529815674,0.07887813448905945,-0.02945462428033352,-0.1391061544418335,0.06730440258979797,-0.042114488780498505,-0.1001596450805664,0.03686007857322693,-0.07270553708076477,-0.07417505979537964,0.10394278168678284,-0.04938165843486786,-0.08944261074066162,0.11948069930076599,-0.026532234624028206
7,-0.030537903308868408,0.28099575638771057,0.023032329976558685,0.0583348274230957,0.210378497838974,-0.008199984207749367,0.11833739280700684,0.0855775773525238,-0.021143928170204163,0.06276166439056396,0.0009794831275939941,-0.033126238733530045,-0.01749730110168457,-0.014943718910217285,-0.033754613250494,0.0729709267616272,-0.008610159158706665,0.01117947231978178,0.08861654996871948,-0.10477349162101746,-0.036881234496831894,0.09290677309036255,-0.008951693773269653,-0.05828271806240082,0.0812913179397583,0.026551127433776855,-0.06871762126684189,0.0,0.0,0.0,0.014965534210205078,-0.0971820056438446,-0.049751557409763336,0.03030836582183838,0.008916705846786499,-0.05597331374883652,0.020080924034118652,0.03467467427253723,-0.048829399049282074,-0.06891447305679321,0.027780920267105103,-0.019014060497283936,-0.05491352081298828,-0.0351313054561615,-0.07295528799295425,-0.02588564157485962,0.06124576926231384,-0.05291540175676346,-0.03365057706832886,0.07844552397727966,-0.0278383269906044,-0.13918325304985046,0.06745359301567078,-0.040434256196022034,-0.10747861862182617,0.034557223320007324,-0.07052410393953323,-0.08202576637268066,0.10027745366096497,-0.046707697212696075,-0.0938103199005127,0.11571952700614929,-0.023149989545345306
