Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.03248476982116699,0.33252406120300293,0.002228781348094344,0.10415130853652954,0.2539311647415161,-0.03464062139391899,0.20259827375411987,0.10951471328735352,-0.04834197461605072,0.24727553129196167,-0.01825118064880371,-0.06687550991773605,0.2824680209159851,-0.1140984296798706,-0.08291327953338623,0.08786028623580933,-0.01177513599395752,0.008927613496780396,0.09246009588241577,-0.13458648324012756,-0.04520604759454727,0.10046720504760742,-0.17984449863433838,-0.0729958564043045,0.10812890529632568,-0.16716980934143066,-0.08159589767456055,0.0,0.0,0.0,0.01599675416946411,-0.11379456520080566,-0.08025003969669342,0.030478835105895996,0.008334934711456299,-0.09272898733615875,0.03608590364456177,0.09616214036941528,-0.07404045015573502,-0.08159953355789185,0.030988752841949463,-0.019249655306339264,-0.06664210557937622,-0.055903881788253784,-0.10636043548583984,-0.03999835252761841,0.06518971920013428,-0.0815516859292984,-0.03388875722885132,0.13971614837646484,-0.03588924556970596,-0.17136326432228088,0.07637172937393188,-0.04105657711625099,-0.14804139733314514,0.0013785362243652344,-0.09565746039152145,-0.11516183614730835,0.07881557941436768,-0.07080686837434769,-0.10835462808609009,0.12945687770843506,-0.03471680358052254
2,-0.03386789560317993,0.33038944005966187,-0.002252070000395179,0.10106271505355835,0.26036298274993896,-0.046138353645801544,0.20560848712921143,0.11547267436981201,-0.060785550624132156,0.24724233150482178,-0.01431041955947876,-0.07854616641998291,0.28675776720046997,-0.11084556579589844,-0.09398958086967468,0.08899813890457153,-0.01078188419342041,0.005602353718131781,0.09326457977294922,-0.13015854358673096,-0.049517206847667694,0.09954887628555298,-0.17877519130706787,-0.07896032929420471,0.10733687877655029,-0.16581451892852783,-0.08784209936857224,0.0,0.0,0.0,0.014975428581237793,-0.12050366401672363,-0.08434832841157913,0.027058184146881104,-6.657838821411133e-05,-0.10026872903108597,0.0339316725730896,0.09616261720657349,-0.07977582514286041,-0.08254894614219666,0.02927875518798828,-0.01670391857624054,-0.06943929195404053,-0.057847827672958374,-0.11185107380151749,-0.04666781425476074,0.06722211837768555,-0.09214720129966736,-0.03969794511795044,0.1464284062385559,-0.04498220607638359,-0.1746780276298523,0.0749848484992981,-0.03575238958001137,-0.14993315935134888,-0.0031082630157470703,-0.09929657727479935,-0.11958181858062744,0.07929420471191406,-0.07810647040605545,-0.11163657903671265,0.13588404655456543,-0.04065978154540062
3,-0.018655598163604736,0.3302760124206543,0.00366580649279058,0.11245077848434448,0.25462186336517334,-0.043742839246988297,0.2130637764930725,0.10618281364440918,-0.06145019829273224,0.2519652247428894,-0.021746158599853516,-0.08154725283384323,0.2846066951751709,-0.12008994817733765,-0.09964288771152496,0.08585876226425171,-0.012046873569488525,0.005382567644119263,0.08800846338272095,-0.1275772750377655,-0.05262979120016098,0.09741955995559692,-0.17971837520599365,-0.0866798385977745,0.10575175285339355,-0.16955327987670898,-0.0985669493675232,0.0,0.0,0.0,0.01453465223312378,-0.11747020483016968,-0.08521473407745361,0.03135526180267334,-0.004979491233825684,-0.10538944602012634,0.038309574127197266,0.09134209156036377,-0.08917228132486343,-0.07817965745925903,0.030513465404510498,-0.016260256990790367,-0.06505757570266724,-0.055141180753707886,-0.10950979590415955,-0.035174667835235596,0.06397104263305664,-0.09267406165599823,-0.024371206760406494,0.14828014373779297,-0.04908477142453194,-0.16429394483566284,0.07814610004425049,-0.03558030351996422,-0.14193999767303467,0.008351624011993408,-0.10027513653039932,-0.10378989577293396,0.08669662475585938,-0.08259548991918564,-0.0902014970779419,0.14697188138961792,-0.04803810641169548
4,-0.020065635442733765,0.3321611285209656,0.006198293063789606,0.11293071508407593,0.26175010204315186,-0.04316149652004242,0.21610599756240845,0.10817831754684448,-0.061005331575870514,0.25956249237060547,-0.02271866798400879,-0.0802578255534172,0.2973189949989319,-0.121013343334198,-0.0975412055850029,0.09167814254760742,-0.013227403163909912,0.0037741863634437323,0.0903889536857605,-0.13002121448516846,-0.05118100345134735,0.09805178642272949,-0.1832084059715271,-0.08094725757837296,0.10746264457702637,-0.1737244725227356,-0.09033484756946564,0.0,0.0,0.0,0.011548459529876709,-0.12179279327392578,-0.08396215736865997,0.03483182191848755,-0.0032973289489746094,-0.10021673142910004,0.0472298264503479,0.09437984228134155,-0.08035065978765488,-0.0830114483833313,0.03173482418060303,-0.014638714492321014,-0.0699222981929779,-0.05525261163711548,-0.10854512453079224,-0.036147624254226685,0.06931847333908081,-0.08998497575521469,-0.023445725440979004,0.15220576524734497,-0.04437537491321564,-0.17248991131782532,0.08001857995986938,-0.03209707885980606,-0.14721757173538208,0.006622672080993652,-0.09677302092313766,-0.10948055982589722,0.08887070417404175,-0.07780710607767105,-0.0975029468536377,0.1479712724685669,-0.04214975982904434
5,-0.026623666286468506,0.31614166498184204,0.005131805315613747,0.09489136934280396,0.24375200271606445,-0.03011452592909336,0.1826830506324768,0.11907237768173218,-0.04623823240399361,0.22347736358642578,0.0018515586853027344,-0.06675489991903305,0.274613618850708,-0.08128008246421814,-0.0849435105919838,0.08048605918884277,-0.012049823999404907,0.004188909661024809,0.06661069393157959,-0.1296728551387787,-0.04973664879798889,0.057564735412597656,-0.14838942885398865,-0.07914671301841736,0.05147910118103027,-0.10920214653015137,-0.08701720833778381,0.0,0.0,0.0,-0.007470905780792236,-0.09160056710243225,-0.07521519064903259,0.0042035579681396484,0.022654056549072266,-0.09063608199357986,0.018319368362426758,0.10991710424423218,-0.07587911188602448,-0.07480192184448242,0.02747100591659546,-0.013338584452867508,-0.08838909864425659,-0.0454329252243042,-0.08676005899906158,-0.06395673751831055,0.060508012771606445,-0.06785253435373306,-0.04336440563201904,0.1320253610610962,-0.029798148199915886,-0.1560106873512268,0.06900745630264282,-0.029701093211770058,-0.1667807698249817,-0.00488048791885376,-0.07313689589500427,-0.13572320342063904,0.05752837657928467,-0.05177611857652664,-0.11254942417144775,0.10610616207122803,-0.019315287470817566
6,-0.0336112380027771,0.30813151597976685,0.0014215733390301466,0.09490585327148438,0.24095886945724487,-0.03471113741397858,0.18948978185653687,0.11431664228439331,-0.048424240201711655,0.22217929363250732,-0.003494858741760254,-0.06548715382814407,0.2724537253379822,-0.08596575260162354,-0.0799967348575592,0.08303779363632202,-0.011822104454040527,0.004753788001835346,0.07033175230026245,-0.12798050045967102,-0.04555590823292732,0.05778473615646362,-0.1511549949645996,-0.07369080185890198,0.05297446250915527,-0.11585476994514465,-0.08205776661634445,0.0,0.0,0.0,-0.011972665786743164,-0.09789302945137024,-0.07117388397455215,-0.000952303409576416,0.011997520923614502,-0.08746287226676941,0.01774364709854126,0.10023748874664307,-0.07465014606714249,-0.07461386919021606,0.026674389839172363,-0.01416962780058384,-0.090542733669281,-0.04772159457206726,-0.08845876902341843,-0.0670325756072998,0.05778735876083374,-0.07342962920665741,-0.045108139514923096,0.13107144832611084,-0.03811269626021385,-0.15443390607833862,0.06673222780227661,-0.031058918684720993,-0.16879916191101074,-0.01063770055770874,-0.07770712673664093,-0.14177164435386658,0.050278544425964355,-0.05992121621966362,-0.11925557255744934,0.09856903553009033,-0.03044886142015457
7,-0.03605914115905762,0.3051890730857849,0.0026866435073316097,0.09168922901153564,0.24146074056625366,-0.035996951162815094,0.1875838041305542,0.11591678857803345,-0.0508519746363163,0.219590425491333,-0.0024201273918151855,-0.0680047944188118,0.267727792263031,-0.08473461866378784,-0.08245524019002914,0.08307194709777832,-0.010713428258895874,0.0036059212870895863,0.06918525695800781,-0.12408244609832764,-0.047965627163648605,0.05923163890838623,-0.1487681269645691,-0.07714716345071793,0.056235671043395996,-0.11669999361038208,-0.08629488199949265,0.0,0.0,0.0,-0.00992739200592041,-0.09706711769104004,-0.07277260720729828,-0.0002467632293701172,0.013962507247924805,-0.08948548883199692,0.018162429332733154,0.10098129510879517,-0.07628752291202545,-0.0741351842880249,0.025592327117919922,-0.013127356767654419,-0.08988773822784424,-0.04697263240814209,-0.08974113315343857,-0.06780010461807251,0.05947566032409668,-0.07462330162525177,-0.045665204524993896,0.13058435916900635,-0.038522228598594666,-0.15376514196395874,0.06439775228500366,-0.028994249179959297,-0.16710638999938965,-0.00876152515411377,-0.07786383479833603,-0.14138826727867126,0.05583381652832031,-0.06021684408187866,-0.11957544088363647,0.10298234224319458,-0.030269252136349678
