Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.042032480239868164,0.3152902126312256,0.04977988451719284,0.043479323387145996,0.2579993009567261,-0.008802294731140137,0.0813170075416565,0.1221051812171936,-0.029979951679706573,0.01980900764465332,0.028918087482452393,-0.049372874200344086,-0.05598318576812744,-0.02677905559539795,-0.0643785148859024,0.07238423824310303,-0.0008212924003601074,0.007480856031179428,0.08172589540481567,-0.16108384728431702,-0.03814157843589783,0.08237528800964355,-0.260694295167923,-0.06562376767396927,0.07944905757904053,-0.34725508093833923,-0.08335251361131668,0.0,0.0,0.0,0.009432077407836914,-0.1662052869796753,-0.05882902443408966,0.021224677562713623,-0.27602216601371765,-0.09520728141069412,0.024786174297332764,-0.3707534670829773,-0.11102641373872757,-0.06901901960372925,0.03230386972427368,-0.01447884738445282,-0.07677716016769409,-0.06595748662948608,-0.1093035563826561,-0.03880465030670166,0.02834618091583252,-0.12534278631210327,-0.019478142261505127,0.09725010395050049,-0.10754071921110153,-0.12819620966911316,0.08726769685745239,-0.0324367880821228,-0.10208797454833984,0.05225026607513428,-0.11769179254770279,-0.06744927167892456,0.12320417165756226,-0.12746262550354004,-0.05577284097671509,0.1728232502937317,-0.11425680667161942
2,-0.042039692401885986,0.329203724861145,0.04208861291408539,0.042587876319885254,0.26493746042251587,-0.017397772520780563,0.08539384603500366,0.12661337852478027,-0.03818858414888382,0.022092163562774658,0.03455698490142822,-0.05772263556718826,-0.056744396686553955,-0.02315819263458252,-0.07265231758356094,0.07491618394851685,-0.006129145622253418,0.007306475192308426,0.08326095342636108,-0.16282060742378235,-0.035353995859622955,0.08352804183959961,-0.25773948431015015,-0.06110922247171402,0.08031398057937622,-0.34143075346946716,-0.07744299620389938,0.0,0.0,0.0,0.012527048587799072,-0.1683604121208191,-0.05423547327518463,0.025001168251037598,-0.27313899993896484,-0.08740060031414032,0.02664661407470703,-0.3653492033481598,-0.10157538950443268,-0.07090377807617188,0.03680706024169922,-0.015570323914289474,-0.07207763195037842,-0.06255483627319336,-0.10865938663482666,-0.03238701820373535,0.030379772186279297,-0.12593169510364532,-0.016501307487487793,0.09638094902038574,-0.10939817130565643,-0.13272398710250854,0.09369730949401855,-0.034547001123428345,-0.10146373510360718,0.05239897966384888,-0.11629730463027954,-0.06615960597991943,0.12257051467895508,-0.1249210387468338,-0.058681368827819824,0.17225897312164307,-0.11192135512828827
3,-0.03380465507507324,0.33866971731185913,0.041736189275979996,0.04992729425430298,0.26604163646698,-0.014714300632476807,0.08451813459396362,0.12642478942871094,-0.03558403626084328,0.01278829574584961,0.030908644199371338,-0.05636066570878029,-0.06680601835250854,-0.028162240982055664,-0.07335677742958069,0.07707709074020386,-0.008928000926971436,0.00861138105392456,0.08285677433013916,-0.16520440578460693,-0.03361066058278084,0.07969164848327637,-0.2611948549747467,-0.06027575209736824,0.07451725006103516,-0.34618446230888367,-0.07747159898281097,0.0,0.0,0.0,0.007114052772521973,-0.16955354809761047,-0.053648967295885086,0.017029285430908203,-0.27799278497695923,-0.0875333845615387,0.02107924222946167,-0.37038442492485046,-0.10316656529903412,-0.0711633563041687,0.04143649339675903,-0.01604287326335907,-0.0766986608505249,-0.061043739318847656,-0.10730184614658356,-0.03457653522491455,0.02998828887939453,-0.12304779887199402,-0.012369930744171143,0.10011184215545654,-0.10630452632904053,-0.13082942366600037,0.10338741540908813,-0.03528035804629326,-0.10442829132080078,0.052236318588256836,-0.11531172692775726,-0.06435695290565491,0.12006950378417969,-0.12166590988636017,-0.04781043529510498,0.172804057598114,-0.10733436048030853
4,-0.017494678497314453,0.3378165364265442,0.05086066573858261,0.07503390312194824,0.26086658239364624,0.006213933229446411,0.1184888482093811,0.11058646440505981,-0.010320909321308136,0.06349581480026245,0.0097159743309021,-0.02818623185157776,-0.015734553337097168,-0.03353387117385864,-0.0423915833234787,0.07306027412414551,-0.007774829864501953,0.012511372566223145,0.08273696899414062,-0.1765209436416626,-0.029842644929885864,0.08382761478424072,-0.27724120020866394,-0.05175849795341492,0.08129668235778809,-0.3615996539592743,-0.06351455301046371,0.0,0.0,0.0,0.010487198829650879,-0.18297475576400757,-0.053305335342884064,0.02263641357421875,-0.29746583104133606,-0.08011743426322937,0.02417224645614624,-0.392469197511673,-0.08931481838226318,-0.06773915886878967,0.037332117557525635,-0.017946608364582062,-0.05104932188987732,-0.0805596113204956,-0.10427865386009216,-0.006282925605773926,0.007311105728149414,-0.11114811897277832,0.00948566198348999,0.07739603519439697,-0.08808951079845428,-0.12600570917129517,0.09665858745574951,-0.038135506212711334,-0.07478421926498413,0.032689452171325684,-0.10949240624904633,-0.03655660152435303,0.09987229108810425,-0.1077985018491745,-0.03400522470474243,0.15679186582565308,-0.087895467877388
5,-0.015926480293273926,0.3331286311149597,0.04351858049631119,0.07413220405578613,0.25270193815231323,-0.003540143370628357,0.11985373497009277,0.10104119777679443,-0.01993502676486969,0.06119656562805176,-0.0007486939430236816,-0.03641820698976517,-0.02395045757293701,-0.03816491365432739,-0.04824542999267578,0.07272368669509888,-0.008302927017211914,0.008763924241065979,0.07538193464279175,-0.17728698253631592,-0.029502183198928833,0.07054227590560913,-0.27104243636131287,-0.048810869455337524,0.06190258264541626,-0.3534794747829437,-0.06102335453033447,0.0,0.0,0.0,0.0036521553993225098,-0.17669743299484253,-0.049891047179698944,0.008329331874847412,-0.2804906964302063,-0.07376585900783539,0.0020761489868164062,-0.37092384696006775,-0.08342842757701874,-0.0667513906955719,0.034494757652282715,-0.014737479388713837,-0.05668097734451294,-0.09055471420288086,-0.09342113137245178,-0.0075241923332214355,-0.0026334524154663086,-0.09507502615451813,0.011970281600952148,0.06489557027816772,-0.07337410002946854,-0.12337365746498108,0.08876937627792358,-0.03301524370908737,-0.07475501298904419,0.036512136459350586,-0.10052542388439178,-0.0396636426448822,0.10301578044891357,-0.10124483704566956,-0.039019227027893066,0.15377110242843628,-0.08633513748645782
6,-0.010381519794464111,0.3318129777908325,0.05177118629217148,0.08304953575134277,0.2489551305770874,0.006415877491235733,0.12574446201324463,0.09802478551864624,-0.010520175099372864,0.06161022186279297,-0.0015225410461425781,-0.027678046375513077,-0.02556675672531128,-0.03683990240097046,-0.04124719277024269,0.07253032922744751,-0.011106014251708984,0.011068534106016159,0.07904285192489624,-0.17482268810272217,-0.02849963679909706,0.07502985000610352,-0.27092090249061584,-0.04904541000723839,0.06577736139297485,-0.3539811670780182,-0.06158989295363426,0.0,0.0,0.0,0.006969273090362549,-0.17773526906967163,-0.050622668117284775,0.017170071601867676,-0.2859635353088379,-0.07533632218837738,0.014412224292755127,-0.37686294317245483,-0.08477512001991272,-0.06644237041473389,0.0388340950012207,-0.01615457609295845,-0.05518263578414917,-0.0803864598274231,-0.09874624013900757,-0.004808485507965088,0.0032782554626464844,-0.10444481670856476,0.012570619583129883,0.06965100765228271,-0.08342921733856201,-0.12145274877548218,0.09683358669281006,-0.03465679660439491,-0.07263016700744629,0.03216111660003662,-0.10380735993385315,-0.03327411413192749,0.09666228294372559,-0.1024208664894104,-0.03168976306915283,0.15144753456115723,-0.08472698926925659
7,-0.009044766426086426,0.33349281549453735,0.050216685980558395,0.08098244667053223,0.2507053017616272,0.004815686494112015,0.12264347076416016,0.10137087106704712,-0.012503854930400848,0.06233900785446167,0.003449857234954834,-0.030359633266925812,-0.019494295120239258,-0.03649771213531494,-0.044554464519023895,0.07122576236724854,-0.01114034652709961,0.011434614658355713,0.07672768831253052,-0.1711409091949463,-0.030451931059360504,0.07260560989379883,-0.26762574911117554,-0.052624888718128204,0.06339079141616821,-0.3499240279197693,-0.06522506475448608,0.0,0.0,0.0,0.00722503662109375,-0.1777704358100891,-0.05314714461565018,0.0164911150932312,-0.2856627404689789,-0.07932773977518082,0.013733267784118652,-0.37533923983573914,-0.08839624375104904,-0.06655716896057129,0.039329588413238525,-0.016772694885730743,-0.055612653493881226,-0.07677000761032104,-0.10178009420633316,-0.00489962100982666,0.008559048175811768,-0.1067267581820488,0.013520598411560059,0.0754690170288086,-0.08342958241701126,-0.12285205721855164,0.09808886051177979,-0.03579600900411606,-0.0752880871295929,0.029971957206726074,-0.10465321689844131,-0.03372865915298462,0.09556788206100464,-0.10053261369466782,-0.030022859573364258,0.1513466238975525,-0.07983864098787308
