Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.005176663398742676,0.34166431427001953,0.06879396736621857,0.08636802434921265,0.27516692876815796,0.01316632330417633,0.13624346256256104,0.16677629947662354,-0.019624076783657074,0.11841624975204468,0.07749629020690918,-0.05261947959661484,0.04560387134552002,0.03305041790008545,-0.08293019235134125,0.07957285642623901,-0.002127349376678467,0.0104629285633564,0.13554805517196655,-0.1433766484260559,-0.043467678129673004,0.16658300161361694,-0.22953903675079346,-0.07782118022441864,0.19132572412490845,-0.30789047479629517,-0.09763675928115845,0.0,0.0,0.0,-0.015260577201843262,-0.16493088006973267,-0.06706295907497406,-0.026332437992095947,-0.27413517236709595,-0.10789500176906586,-0.03921318054199219,-0.3670862019062042,-0.12716417014598846,-0.07359698414802551,0.04335230588912964,-0.01422986388206482,-0.06916406750679016,-0.047996580600738525,-0.10671477019786835,-0.017777740955352783,0.04035466909408569,-0.1144019067287445,0.011009693145751953,0.1148228645324707,-0.09169857203960419,-0.13595300912857056,0.11067795753479004,-0.03129836171865463,-0.1130601167678833,0.04552978277206421,-0.10309821367263794,-0.061544179916381836,0.10513126850128174,-0.09482204914093018,-0.034238576889038086,0.1621311902999878,-0.06900350749492645
2,-0.006576418876647949,0.3503364324569702,0.06106523796916008,0.08492118120193481,0.2754077911376953,0.015400122851133347,0.1382046937942505,0.16452807188034058,-0.013325531035661697,0.11823827028274536,0.07736581563949585,-0.04559389129281044,0.050419390201568604,0.028400719165802002,-0.07571892440319061,0.07832163572311401,-0.003364384174346924,0.015234243124723434,0.13959187269210815,-0.141274094581604,-0.03784012421965599,0.17274338006973267,-0.2287425398826599,-0.07194529473781586,0.19614434242248535,-0.30666109919548035,-0.09094700217247009,0.0,0.0,0.0,-0.01091766357421875,-0.1691543459892273,-0.06455321609973907,-0.020508110523223877,-0.2769797444343567,-0.1034415066242218,-0.035346388816833496,-0.36964237689971924,-0.12060260772705078,-0.07183992862701416,0.044396281242370605,-0.019059699028730392,-0.06218844652175903,-0.04515808820724487,-0.1098797470331192,-0.00902467966079712,0.04564017057418823,-0.11662182211875916,0.017175793647766113,0.11946308612823486,-0.0921320766210556,-0.13164347410202026,0.11299461126327515,-0.04025715962052345,-0.10311076045036316,0.04505234956741333,-0.10825133323669434,-0.04980045557022095,0.10289651155471802,-0.09732191264629364,-0.023323655128479004,0.15958863496780396,-0.06922058761119843
3,-0.008072376251220703,0.35220515727996826,0.056922782212495804,0.08326631784439087,0.2754216194152832,0.012395650148391724,0.13921493291854858,0.158796489238739,-0.014050465077161789,0.11784374713897705,0.06773978471755981,-0.04460946097970009,0.04710298776626587,0.021530449390411377,-0.0725860744714737,0.08005750179290771,-0.003324270248413086,0.016540762037038803,0.14249712228775024,-0.14301002025604248,-0.036542829126119614,0.1749013066291809,-0.2299579679965973,-0.07025417685508728,0.19692397117614746,-0.30913034081459045,-0.08976292610168457,0.0,0.0,0.0,-0.010406553745269775,-0.16880559921264648,-0.06581276655197144,-0.01867610216140747,-0.2762710452079773,-0.10394705832004547,-0.03350687026977539,-0.36952489614486694,-0.12060050666332245,-0.0733967125415802,0.0444866418838501,-0.02102406695485115,-0.06313079595565796,-0.0481342077255249,-0.11273042857646942,-0.011429011821746826,0.04792588949203491,-0.11689095199108124,0.0116615891456604,0.12239456176757812,-0.09070791304111481,-0.1343158781528473,0.11292266845703125,-0.04457119479775429,-0.1016022264957428,0.053575754165649414,-0.11219705641269684,-0.05418133735656738,0.11292725801467896,-0.10139133036136627,-0.035764098167419434,0.16539055109024048,-0.07410657405853271
4,-0.01586294174194336,0.3571537137031555,0.049292780458927155,0.07410579919815063,0.277216374874115,0.004018150269985199,0.11773240566253662,0.15384900569915771,-0.020249396562576294,0.05823129415512085,0.06932264566421509,-0.04807286709547043,-0.02436918020248413,0.027066707611083984,-0.07252006232738495,0.08681648969650269,-0.003891885280609131,0.015702739357948303,0.15705394744873047,-0.13904103636741638,-0.03470495343208313,0.19774943590164185,-0.22264274954795837,-0.06642318516969681,0.224021315574646,-0.2964155375957489,-0.08542215079069138,0.0,0.0,0.0,-0.021411597728729248,-0.16624388098716736,-0.06439413130283356,-0.035781145095825195,-0.27177539467811584,-0.10459158569574356,-0.05708920955657959,-0.3595344126224518,-0.12221286445856094,-0.07218724489212036,0.04717594385147095,-0.020766451954841614,-0.07328084111213684,-0.026439130306243896,-0.11415385454893112,-0.012510359287261963,0.05699598789215088,-0.13114729523658752,0.020130634307861328,0.12240743637084961,-0.11420381814241409,-0.12536418437957764,0.11647731065750122,-0.043599314987659454,-0.08903780579566956,0.08949077129364014,-0.11858458071947098,-0.036905109882354736,0.1473657488822937,-0.12222329527139664,-0.009425759315490723,0.19415295124053955,-0.10497560352087021
5,0.019626855850219727,0.3597407937049866,0.05446276441216469,0.10421675443649292,0.27929919958114624,0.007134690880775452,0.146093487739563,0.169378399848938,-0.021710123866796494,0.07770401239395142,0.11212158203125,-0.05476086959242821,-0.008650004863739014,0.10161781311035156,-0.08443713188171387,0.08947569131851196,-0.01771610975265503,0.018656622618436813,0.15097260475158691,-0.15627756714820862,-0.031089242547750473,0.18891781568527222,-0.2450902760028839,-0.06336110830307007,0.2134365439414978,-0.31908735632896423,-0.08218151330947876,0.0,0.0,0.0,-0.047496020793914795,-0.16627001762390137,-0.062133919447660446,-0.0771808922290802,-0.27251145243644714,-0.10527276992797852,-0.1088179349899292,-0.3618808090686798,-0.12485113739967346,-0.06574729084968567,0.061229169368743896,-0.023755867034196854,-0.07079115509986877,0.011223256587982178,-0.11666934192180634,-0.006503462791442871,0.08479517698287964,-0.13917726278305054,0.029623687267303467,0.14238744974136353,-0.12413427233695984,-0.10873624682426453,0.14320921897888184,-0.049406442791223526,-0.08828049898147583,0.10021579265594482,-0.11544960737228394,-0.027126669883728027,0.1503165364265442,-0.11130641400814056,0.011875391006469727,0.19784367084503174,-0.08879341185092926
6,0.02502119541168213,0.3592277765274048,0.058245934545993805,0.11145567893981934,0.2775048613548279,0.004488900303840637,0.14613044261932373,0.16796457767486572,-0.028704077005386353,0.07618868350982666,0.1146857738494873,-0.06529201567173004,-0.012216627597808838,0.09740239381790161,-0.09778546541929245,0.0898369550704956,-0.016321003437042236,0.016120843589305878,0.15068548917770386,-0.15760061144828796,-0.040101274847984314,0.18830817937850952,-0.24819910526275635,-0.07657285779714584,0.21505308151245117,-0.32225435972213745,-0.09730752557516098,0.0,0.0,0.0,-0.0497191846370697,-0.16771957278251648,-0.06795164197683334,-0.07936054468154907,-0.27671924233436584,-0.11327328532934189,-0.11030828952789307,-0.3661232888698578,-0.13372990489006042,-0.0666622519493103,0.06038326025009155,-0.021946564316749573,-0.07934883236885071,0.011470794677734375,-0.11999078840017319,-0.014324486255645752,0.08819085359573364,-0.14073699712753296,0.022250890731811523,0.14838570356369019,-0.123590849339962,-0.11147218942642212,0.14075499773025513,-0.0465613454580307,-0.08999192714691162,0.10596680641174316,-0.11799969524145126,-0.03380793333053589,0.15825462341308594,-0.11501707881689072,-0.0009900927543640137,0.20439475774765015,-0.09252070635557175
7,0.025133967399597168,0.3596930503845215,0.060479432344436646,0.11021822690963745,0.27765434980392456,0.004729792475700378,0.14577561616897583,0.16855233907699585,-0.029790110886096954,0.07654255628585815,0.11230456829071045,-0.0671352744102478,-0.01286405324935913,0.0922623872756958,-0.10024024546146393,0.09021908044815063,-0.01582038402557373,0.014882396906614304,0.15013819932937622,-0.15771040320396423,-0.04253750294446945,0.18762367963790894,-0.24851828813552856,-0.0795641541481018,0.21437782049179077,-0.3220151960849762,-0.09999419748783112,0.0,0.0,0.0,-0.049922823905944824,-0.1685848832130432,-0.0681685358285904,-0.0798986554145813,-0.27749451994895935,-0.11293701827526093,-0.11042660474777222,-0.36589914560317993,-0.1324821412563324,-0.06653156876564026,0.059569716453552246,-0.020783506333827972,-0.07741689682006836,0.012911736965179443,-0.11758185923099518,-0.012253999710083008,0.08870524168014526,-0.13758485019207,0.024983584880828857,0.14811688661575317,-0.11993211507797241,-0.11108964681625366,0.13890928030014038,-0.04451104253530502,-0.08958762884140015,0.10488021373748779,-0.1134829968214035,-0.0329553484916687,0.15503603219985962,-0.10943634808063507,0.00146561861038208,0.19904017448425293,-0.08633407950401306
