Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.06006515026092529,0.32899153232574463,0.023960454389452934,0.14110112190246582,0.22745007276535034,-0.010185237973928452,0.18622279167175293,0.07850992679595947,-0.03416277840733528,0.16894787549972534,-0.035389244556427,-0.06309136748313904,0.08187055587768555,-0.06413882970809937,-0.09126900136470795,0.06924134492874146,-0.027350664138793945,0.015511159785091877,0.07188957929611206,-0.14380741119384766,-0.03027668595314026,0.09995019435882568,-0.21241533756256104,-0.05502666160464287,0.11862367391586304,-0.26334768533706665,-0.06993570923805237,0.0,0.0,0.0,0.04257410764694214,-0.09994959831237793,-0.07186827063560486,0.09664809703826904,-0.0035760998725891113,-0.08639700710773468,0.09028184413909912,0.04209089279174805,-0.07594606280326843,-0.059607893228530884,0.04151439666748047,-0.02236880734562874,-0.0005206465721130371,-0.019683480262756348,-0.1103973388671875,0.045971453189849854,0.0856248140335083,-0.09598134458065033,0.01957523822784424,0.1248369812965393,-0.06133418157696724,-0.11869114637374878,0.09447234869003296,-0.045860644429922104,-0.056503623723983765,0.033223867416381836,-0.1001298725605011,-0.013567894697189331,0.0999416708946228,-0.0771653801202774,-0.038284629583358765,0.13324451446533203,-0.046653103083372116
2,0.07307231426239014,0.32959872484207153,0.022955702617764473,0.15020501613616943,0.23327594995498657,-0.014111906290054321,0.19243383407592773,0.08817547559738159,-0.04242776706814766,0.17621761560440063,-0.024799883365631104,-0.07544349133968353,0.09277045726776123,-0.05760893225669861,-0.10723541676998138,0.06836986541748047,-0.026016592979431152,0.013633272610604763,0.07344311475753784,-0.1363866925239563,-0.03378807753324509,0.0987396240234375,-0.20809879899024963,-0.056575048714876175,0.11907190084457397,-0.2620038688182831,-0.0686059445142746,0.0,0.0,0.0,0.04682642221450806,-0.09834277629852295,-0.06920348107814789,0.09879380464553833,-0.006625175476074219,-0.0783827006816864,0.09392011165618896,0.024503111839294434,-0.06376537680625916,-0.057575613260269165,0.03919404745101929,-0.021484538912773132,0.010039925575256348,-0.012796938419342041,-0.1081065833568573,0.05493587255477905,0.09148645401000977,-0.09101837873458862,0.0276830792427063,0.12496334314346313,-0.054679881781339645,-0.11341410875320435,0.09179514646530151,-0.04466478154063225,-0.04782283306121826,0.038682520389556885,-0.09805434942245483,-0.005804240703582764,0.10601764917373657,-0.07458411157131195,-0.03064778447151184,0.13694125413894653,-0.04337334260344505
3,0.09644943475723267,0.3276483416557312,0.024535758420825005,0.16899168491363525,0.23213553428649902,-0.0056985486298799515,0.2079470157623291,0.0862625241279602,-0.033905915915966034,0.19099080562591553,-0.026335537433624268,-0.06823813170194626,0.10842651128768921,-0.05850273370742798,-0.10133344680070877,0.06936639547348022,-0.029542922973632812,0.016280341893434525,0.07826590538024902,-0.13855940103530884,-0.030122486874461174,0.10667318105697632,-0.20981645584106445,-0.05090634524822235,0.13070058822631836,-0.25702446699142456,-0.06163535267114639,0.0,0.0,0.0,0.06493234634399414,-0.08819818496704102,-0.06453775614500046,0.11815541982650757,0.021986305713653564,-0.06615546345710754,0.1037566065788269,0.060558199882507324,-0.04836692661046982,-0.0524505078792572,0.04014742374420166,-0.023949673399329185,0.028151094913482666,-0.0136452317237854,-0.10315749794244766,0.07479578256607056,0.08828645944595337,-0.07992832362651825,0.04339712858200073,0.12109190225601196,-0.04354967176914215,-0.10180819034576416,0.09434163570404053,-0.0496412068605423,-0.024914562702178955,0.040120601654052734,-0.09933625906705856,0.016505122184753418,0.10629361867904663,-0.0747671127319336,-0.013906657695770264,0.1386948823928833,-0.04469206929206848
4,0.003975093364715576,0.3316255211830139,0.008337422274053097,0.09561198949813843,0.2408154010772705,-0.03163425624370575,0.15971046686172485,0.09355306625366211,-0.053036123514175415,0.13943225145339966,-0.02502208948135376,-0.07782479375600815,0.057221829891204834,-0.054575055837631226,-0.10175131261348724,0.079764723777771,-0.017416536808013916,0.010269707068800926,0.08973592519760132,-0.1310737133026123,-0.031153082847595215,0.10248053073883057,-0.20212087035179138,-0.049609556794166565,0.11175274848937988,-0.2654978632926941,-0.060391683131456375,0.0,0.0,0.0,0.02185368537902832,-0.11819174885749817,-0.07195401191711426,0.06186819076538086,-0.013707399368286133,-0.08444874733686447,0.05778986215591431,0.028417766094207764,-0.06820525974035263,-0.06976962089538574,0.033381760120391846,-0.01822807267308235,-0.03143930435180664,-0.030260056257247925,-0.10565323382616043,0.006526589393615723,0.07833176851272583,-0.09332267940044403,-0.017475247383117676,0.11412954330444336,-0.05777120217680931,-0.142103910446167,0.07864487171173096,-0.038086846470832825,-0.09741553664207458,0.019131481647491455,-0.09056385606527328,-0.06251060962677002,0.08962184190750122,-0.0705755427479744,-0.08887967467308044,0.12032467126846313,-0.04143213853240013
5,0.0039014220237731934,0.32079750299453735,0.0002385510306339711,0.08925580978393555,0.2137812376022339,-0.03487725555896759,0.143915593624115,0.07411414384841919,-0.04978621006011963,0.11107903718948364,-0.03265732526779175,-0.06640121340751648,0.028408169746398926,-0.05791565775871277,-0.0799914002418518,0.06939250230789185,-0.018065571784973145,0.010536721907556057,0.07636958360671997,-0.12342897057533264,-0.017735382542014122,0.08305799961090088,-0.1880609393119812,-0.032590705901384354,0.077414870262146,-0.2461903691291809,-0.044669970870018005,0.0,0.0,0.0,0.010297894477844238,-0.11106804013252258,-0.05475873872637749,0.053644537925720215,-0.019702672958374023,-0.06761997193098068,0.05311709642410278,0.01814180612564087,-0.05805693939328194,-0.05996441841125488,0.035509705543518066,-0.01724584586918354,-0.035087525844573975,-0.02916055917739868,-0.09108471125364304,0.01355859637260437,0.06836199760437012,-0.08178853988647461,-0.0023987889289855957,0.09989476203918457,-0.05319388583302498,-0.11806783080101013,0.0849413275718689,-0.03612992912530899,-0.07588997483253479,0.0346606969833374,-0.08331575989723206,-0.039463937282562256,0.0944945216178894,-0.06750324368476868,-0.06349730491638184,0.11757063865661621,-0.0442739799618721
6,0.00873345136642456,0.308097779750824,0.019573526456952095,0.08849024772644043,0.22107475996017456,-0.01745152287185192,0.143837571144104,0.07635331153869629,-0.03687671571969986,0.11370843648910522,-0.035656630992889404,-0.056778520345687866,0.027943849563598633,-0.05572369694709778,-0.07460461556911469,0.0722164511680603,-0.015704751014709473,0.010535224340856075,0.07939958572387695,-0.11588317155838013,-0.02277521602809429,0.08828413486480713,-0.18158459663391113,-0.037678442895412445,0.08154821395874023,-0.23795881867408752,-0.049456119537353516,0.0,0.0,0.0,0.014275312423706055,-0.10470175743103027,-0.06102117896080017,0.05804342031478882,-0.012620091438293457,-0.07236909866333008,0.0539020299911499,0.02254927158355713,-0.06070394814014435,-0.0615922212600708,0.03365445137023926,-0.016156265512108803,-0.024192243814468384,-0.016333401203155518,-0.09684209525585175,0.02340596914291382,0.0807613730430603,-0.08779973536729813,0.003139495849609375,0.10528784990310669,-0.05822671949863434,-0.12027096748352051,0.08136820793151855,-0.03324086219072342,-0.06462794542312622,0.0414355993270874,-0.08629074692726135,-0.029558241367340088,0.10489493608474731,-0.07176265865564346,-0.05947136878967285,0.12544208765029907,-0.04865306615829468
7,0.007948249578475952,0.2991899847984314,0.020913494750857353,0.08963140845298767,0.21550995111465454,-0.02013489231467247,0.14907988905906677,0.07276648283004761,-0.040137410163879395,0.11103883385658264,-0.036787331104278564,-0.05910522863268852,0.026567965745925903,-0.05986925959587097,-0.07602347433567047,0.07132050395011902,-0.014015674591064453,0.00722131785005331,0.07844379544258118,-0.11284127831459045,-0.025235630571842194,0.08766564726829529,-0.1768728494644165,-0.04130857437849045,0.08205613493919373,-0.23477455973625183,-0.0547470860183239,0.0,0.0,0.0,0.012127995491027832,-0.10514754056930542,-0.059643808752298355,0.05745616555213928,-0.01428532600402832,-0.07278496026992798,0.05412915349006653,0.02349752187728882,-0.0635642558336258,-0.060637980699539185,0.032761216163635254,-0.012425675988197327,-0.02545049786567688,-0.0240403413772583,-0.09066177904605865,0.024917423725128174,0.072654128074646,-0.08104994893074036,0.007074803113937378,0.10214132070541382,-0.052315209060907364,-0.12018561363220215,0.08035933971405029,-0.026080653071403503,-0.06504881381988525,0.03748995065689087,-0.07913324236869812,-0.028210103511810303,0.10044771432876587,-0.06534919142723083,-0.05704054236412048,0.12312209606170654,-0.04314883425831795
