Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.002585083246231079,0.346138060092926,0.06520553678274155,0.11817187070846558,0.2827875018119812,-0.00589066743850708,0.211708664894104,0.1566298007965088,-0.03891264647245407,0.28626471757888794,0.04551708698272705,-0.06944424659013748,0.36577683687210083,-0.027575910091400146,-0.08766842633485794,0.09690713882446289,-0.0008024275302886963,-0.0058121457695961,0.08343195915222168,-0.038866519927978516,-0.08044565469026566,0.07678031921386719,0.07702338695526123,-0.10922469943761826,0.08271902799606323,0.15984183549880981,-0.1118592843413353,0.0,0.0,0.0,-0.004763782024383545,-0.010042428970336914,-0.09793110936880112,0.012264728546142578,0.128198504447937,-0.12097769230604172,0.028715014457702637,0.21155673265457153,-0.11507207900285721,-0.09061473608016968,0.017628610134124756,-0.006165996193885803,-0.10947513580322266,-0.02061888575553894,-0.10410874336957932,-0.06951051950454712,0.09951943159103394,-0.11270072311162949,-0.03257051110267639,0.1851484775543213,-0.09188240021467209,-0.1718776822090149,0.047921836376190186,-0.016644038259983063,-0.23953551054000854,-0.06342017650604248,-0.07505518943071365,-0.29280951619148254,-0.13350370526313782,-0.09245672076940536,-0.33848318457603455,-0.20838215947151184,-0.09259874373674393
2,-0.00031188130378723145,0.3482508659362793,0.05918748676776886,0.11927813291549683,0.27688997983932495,-0.007174260914325714,0.21400457620620728,0.15053409337997437,-0.04314718395471573,0.2871389389038086,0.04128468036651611,-0.07981927692890167,0.3633793592453003,-0.028844743967056274,-0.1041470468044281,0.099109947681427,-0.0017272233963012695,-0.002526070922613144,0.0940740704536438,-0.04579514265060425,-0.0835866630077362,0.08338671922683716,0.0698554515838623,-0.11820697784423828,0.0856550931930542,0.1513611078262329,-0.12348811328411102,0.0,0.0,0.0,0.0015471577644348145,-0.03166624903678894,-0.10288083553314209,0.015397727489471436,0.10772335529327393,-0.12664279341697693,0.03038853406906128,0.19248569011688232,-0.11875002086162567,-0.08984190225601196,0.01683098077774048,-0.009855233132839203,-0.1024443507194519,-0.03129243850708008,-0.10874062776565552,-0.06626874208450317,0.08819955587387085,-0.11353221535682678,-0.03387531638145447,0.17212361097335815,-0.08790704607963562,-0.17098486423492432,0.041782498359680176,-0.02429346740245819,-0.23695766925811768,-0.06979233026504517,-0.07874001562595367,-0.28853896260261536,-0.1386432945728302,-0.09224075078964233,-0.33323100209236145,-0.21084579825401306,-0.08877390623092651
3,0.0021883249282836914,0.3594108819961548,0.054427482187747955,0.1187155544757843,0.28623074293136597,-0.017933771014213562,0.21093687415122986,0.15445488691329956,-0.05546995997428894,0.27658745646476746,0.04062753915786743,-0.09317635744810104,0.35372593998908997,-0.03296101093292236,-0.11878449469804764,0.10117647051811218,-0.004141807556152344,-0.006624404340982437,0.06781473755836487,-0.049265503883361816,-0.08698491007089615,0.05958196520805359,0.06665116548538208,-0.12175694853067398,0.06908062100410461,0.15044480562210083,-0.12639930844306946,0.0,0.0,0.0,-0.019861191511154175,-0.027218997478485107,-0.10444764047861099,-0.0019398629665374756,0.11076003313064575,-0.1326691210269928,0.01585260033607483,0.1969594955444336,-0.12651684880256653,-0.08943614363670349,0.019277989864349365,-0.0057135410606861115,-0.12151452898979187,-0.034907400608062744,-0.10530879348516464,-0.08580932021141052,0.08376729488372803,-0.11282598227262497,-0.05019783973693848,0.17058515548706055,-0.0876733586192131,-0.1705411970615387,0.04687833786010742,-0.01641489565372467,-0.2304391860961914,-0.06656908988952637,-0.07109064608812332,-0.28235164284706116,-0.13300830125808716,-0.08451522141695023,-0.32932791113853455,-0.20098313689231873,-0.0792728140950203
4,0.024061083793640137,0.3387153744697571,0.048930488526821136,0.1411154866218567,0.2583675980567932,-0.008513730019330978,0.22483116388320923,0.12072306871414185,-0.03663106635212898,0.28894829750061035,0.0014497041702270508,-0.0654836893081665,0.35960471630096436,-0.07790648937225342,-0.08332246541976929,0.09222567081451416,-0.008462965488433838,-0.002257194370031357,0.09042304754257202,-0.06619369983673096,-0.06758837401866913,0.09998267889022827,0.04268598556518555,-0.09404374659061432,0.11015230417251587,0.12377429008483887,-0.09635858237743378,0.0,0.0,0.0,0.002863466739654541,-0.03817063570022583,-0.08585399389266968,0.0339621901512146,0.08468538522720337,-0.1089169830083847,0.054965317249298096,0.16623669862747192,-0.10537420213222504,-0.08575397729873657,0.020130813121795654,-0.008148476481437683,-0.09744793176651001,-0.03877228498458862,-0.092256560921669,-0.04739844799041748,0.07005321979522705,-0.10013993084430695,-0.00964406132698059,0.15335208177566528,-0.08222110569477081,-0.1621285080909729,0.049369215965270996,-0.019976992160081863,-0.2399333417415619,-0.05979740619659424,-0.06718823313713074,-0.29397109150886536,-0.12923872470855713,-0.08274860680103302,-0.34069687128067017,-0.20074492692947388,-0.08423705399036407
5,0.03720659017562866,0.3096868395805359,0.01994026079773903,0.15010583400726318,0.21970832347869873,-0.01820758730173111,0.21886438131332397,0.0872226357460022,-0.03403172641992569,0.25862592458724976,-0.028947055339813232,-0.05529268831014633,0.30917972326278687,-0.10538750886917114,-0.06941667199134827,0.08363932371139526,-0.010104387998580933,0.0021334663033485413,0.06849658489227295,-0.060802996158599854,-0.04862821102142334,0.07869917154312134,0.02923804521560669,-0.07255499809980392,0.09037536382675171,0.09562462568283081,-0.0746133103966713,0.0,0.0,0.0,-0.009108304977416992,-0.0415365993976593,-0.06823254376649857,0.02217167615890503,0.06289887428283691,-0.09059017151594162,0.046815454959869385,0.13542741537094116,-0.08789244294166565,-0.07492294907569885,0.017810195684432983,-0.010165875777602196,-0.09832990169525146,-0.038274168968200684,-0.07651425898075104,-0.0521029531955719,0.04938441514968872,-0.08314526081085205,-0.014827609062194824,0.11774080991744995,-0.06621628999710083,-0.14327692985534668,0.042883217334747314,-0.02296406403183937,-0.20761018991470337,-0.05802279710769653,-0.053302571177482605,-0.24932634830474854,-0.11914914846420288,-0.057051882147789,-0.2856194078922272,-0.17996978759765625,-0.05077102780342102
6,0.03618919849395752,0.3079674541950226,0.029000872746109962,0.14311754703521729,0.22640302777290344,-0.018863221630454063,0.21423739194869995,0.08396503329277039,-0.03665890544652939,0.25478464365005493,-0.031834304332733154,-0.05594693124294281,0.3015299439430237,-0.10767003893852234,-0.06662684679031372,0.08124828338623047,-0.013310253620147705,-0.0026009175926446915,0.06783109903335571,-0.07219919562339783,-0.05532998591661453,0.07442039251327515,0.021523505449295044,-0.0783669501543045,0.08493173122406006,0.09490266442298889,-0.080341637134552,0.0,0.0,0.0,-0.008661210536956787,-0.044267117977142334,-0.07495995610952377,0.020866215229034424,0.06306055188179016,-0.09918245673179626,0.04247426986694336,0.14066579937934875,-0.09640893340110779,-0.07394057512283325,0.020778149366378784,-0.00623985193669796,-0.1003064513206482,-0.04079243540763855,-0.07791400700807571,-0.05489230155944824,0.04770532250404358,-0.08638469874858856,-0.017916560173034668,0.12054887413978577,-0.06940264999866486,-0.14369064569473267,0.04715028405189514,-0.015738239511847496,-0.2081872820854187,-0.054846495389938354,-0.05448565632104874,-0.25344038009643555,-0.11912938952445984,-0.06652500480413437,-0.2931881546974182,-0.1813804805278778,-0.06523038446903229
7,0.03673964738845825,0.30433759093284607,0.031019356101751328,0.14515525102615356,0.22420933842658997,-0.020155221223831177,0.21721357107162476,0.08406093716621399,-0.03935713693499565,0.25744956731796265,-0.033818185329437256,-0.05900448188185692,0.30345749855041504,-0.1141127347946167,-0.06895582377910614,0.08251315355300903,-0.01306101679801941,-0.004698455333709717,0.06813257932662964,-0.07593879103660583,-0.05800758674740791,0.07789748907089233,0.016776055097579956,-0.08038726449012756,0.09086090326309204,0.08832016587257385,-0.08200167119503021,0.0,0.0,0.0,-0.008483529090881348,-0.04347047209739685,-0.07502427697181702,0.024188876152038574,0.061856597661972046,-0.09857580065727234,0.04772883653640747,0.13521191477775574,-0.09599897265434265,-0.07428264617919922,0.020298689603805542,-0.004326321184635162,-0.10155314207077026,-0.042144328355789185,-0.07624241709709167,-0.05486947298049927,0.046364396810531616,-0.0835399478673935,-0.016617655754089355,0.1173570454120636,-0.06626978516578674,-0.14277660846710205,0.046416789293289185,-0.012232333421707153,-0.20532405376434326,-0.05527642369270325,-0.052119042724370956,-0.2506493330001831,-0.11997434496879578,-0.06469413638114929,-0.29035282135009766,-0.183971107006073,-0.06371632218360901
