Landmarks,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20
Coordinates,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.16120892763137817,0.2473626732826233,0.07084797322750092,-0.07653355598449707,0.2673366069793701,-0.013093464076519012,0.015144705772399902,0.22814863920211792,-0.06531829386949539,0.04381364583969116,0.15912997722625732,-0.111598439514637,-0.001131892204284668,0.0753779411315918,-0.15725478529930115,0.07627880573272705,0.03205817937850952,-0.005538038909435272,0.16606897115707397,-0.06944906711578369,-0.06375604122877121,0.22825896739959717,-0.14893731474876404,-0.09774260967969894,0.27193766832351685,-0.21112948656082153,-0.1190497949719429,0.0,0.0,0.0,0.03265923261642456,-0.10494822263717651,-0.08850517123937607,-0.010196805000305176,-0.012907803058624268,-0.10984357446432114,-0.028474092483520508,0.05602133274078369,-0.09843114763498306,-0.07532811164855957,-0.005553483963012695,-0.0022582486271858215,-0.059814631938934326,-0.0721350908279419,-0.09273714572191238,-0.07952797412872314,0.023832201957702637,-0.07901713997125626,-0.09000599384307861,0.08814972639083862,-0.04186476022005081,-0.15186691284179688,0.009363949298858643,-0.010998919606208801,-0.13001948595046997,-0.04252415895462036,-0.07710256427526474,-0.13260984420776367,0.027838945388793945,-0.062167517840862274,-0.13721024990081787,0.07925152778625488,-0.03121791034936905
2,-0.15946316719055176,0.2809269428253174,0.06501788645982742,-0.06981867551803589,0.27824604511260986,-0.014819569885730743,0.017693698406219482,0.22881358861923218,-0.0641937106847763,0.045652687549591064,0.15713602304458618,-0.109553262591362,0.009256601333618164,0.07420492172241211,-0.15361247956752777,0.07957679033279419,0.027224063873291016,-0.0020277202129364014,0.17509311437606812,-0.07708698511123657,-0.05593197047710419,0.23846614360809326,-0.15473151206970215,-0.09100404381752014,0.28508245944976807,-0.22053217887878418,-0.11537759006023407,0.0,0.0,0.0,0.03980034589767456,-0.10432940721511841,-0.0836014449596405,0.003998696804046631,-0.012139379978179932,-0.10975819826126099,-0.017563700675964355,0.05296051502227783,-0.10574060678482056,-0.07926023006439209,-0.001059114933013916,-0.005502007901668549,-0.055949509143829346,-0.06741029024124146,-0.08932116627693176,-0.07097268104553223,0.029876410961151123,-0.08030453324317932,-0.08513343334197998,0.08893346786499023,-0.05068656802177429,-0.1577623188495636,0.018362343311309814,-0.017678983509540558,-0.12611591815948486,-0.03798842430114746,-0.07546135783195496,-0.1250980794429779,0.030960381031036377,-0.06172710657119751,-0.13209456205368042,0.07806903123855591,-0.03597492724657059
3,-0.16059079766273499,0.2924653887748718,0.054476361721754074,-0.06933528184890747,0.27915245294570923,-0.012072991579771042,0.016832172870635986,0.22449451684951782,-0.05118997022509575,0.03664052486419678,0.15341246128082275,-0.08817820250988007,0.0007276535034179688,0.07545524835586548,-0.12378670275211334,0.0750046968460083,0.026750922203063965,0.002013619989156723,0.17361265420913696,-0.0822451114654541,-0.047534290701150894,0.2353581190109253,-0.15580713748931885,-0.08228155970573425,0.28250032663345337,-0.22133919596672058,-0.10731840133666992,0.0,0.0,0.0,0.040750980377197266,-0.10987833142280579,-0.07927952706813812,0.0019051432609558105,-0.02102530002593994,-0.10930898785591125,-0.023651540279388428,0.04600322246551514,-0.11029371619224548,-0.07749134302139282,0.00012022256851196289,-0.00819382444024086,-0.05488854646682739,-0.07599401473999023,-0.08528956770896912,-0.0737060010433197,0.016007959842681885,-0.08077575266361237,-0.08785068988800049,0.07715392112731934,-0.05642705038189888,-0.15455853939056396,0.022305309772491455,-0.021798398345708847,-0.13085246086120605,-0.040747642517089844,-0.07189437747001648,-0.12850892543792725,0.02158719301223755,-0.05934537574648857,-0.13014090061187744,0.06894975900650024,-0.036481503397226334
4,-0.18196725845336914,0.29048943519592285,0.0459444485604763,-0.08137118816375732,0.2779388427734375,-0.013502709567546844,0.013182461261749268,0.22208696603775024,-0.04853937774896622,0.03670799732208252,0.14097487926483154,-0.08348654955625534,-0.006766259670257568,0.06108742952346802,-0.11812645941972733,0.07208263874053955,0.031488776206970215,0.0056562162935733795,0.16911596059799194,-0.06919437646865845,-0.04252943396568298,0.23037981986999512,-0.13649165630340576,-0.07694537937641144,0.2784244418144226,-0.19706949591636658,-0.10216424614191055,0.0,0.0,0.0,0.051027119159698486,-0.11034578084945679,-0.0774834156036377,0.010729312896728516,-0.025052189826965332,-0.1085091158747673,-0.02086573839187622,0.03715634346008301,-0.11110218614339828,-0.07717549800872803,-0.005928099155426025,-0.011587593704462051,-0.04157751798629761,-0.08853286504745483,-0.08886449784040451,-0.0645909309387207,0.004315495491027832,-0.08592205494642258,-0.087191641330719,0.06778073310852051,-0.06305792927742004,-0.15899068117141724,0.009872615337371826,-0.028060011565685272,-0.12946927547454834,-0.05382251739501953,-0.08062472194433212,-0.12876781821250916,0.007815062999725342,-0.07093993574380875,-0.13673368096351624,0.05610078573226929,-0.05053536593914032
5,-0.17686918377876282,0.2150488793849945,0.056256119161844254,-0.0962170958518982,0.23238572478294373,-0.02422529086470604,-0.007292389869689941,0.1833173930644989,-0.06729990243911743,0.014590561389923096,0.09767428040504456,-0.10165207087993622,-0.015723705291748047,0.01714789867401123,-0.1351757049560547,0.06621479988098145,0.037556976079940796,-0.013571899384260178,0.1693210005760193,-0.05019614100456238,-0.06908965110778809,0.24160856008529663,-0.11707720160484314,-0.10498547554016113,0.29526764154434204,-0.17030778527259827,-0.12756866216659546,0.0,0.0,0.0,0.026578009128570557,-0.08951672911643982,-0.0845319926738739,-0.02398097515106201,-0.0070989131927490234,-0.10766203701496124,-0.052307724952697754,0.061378806829452515,-0.09869416058063507,-0.0671522319316864,-0.015827327966690063,0.0064516738057136536,-0.05425220727920532,-0.07810047268867493,-0.08157806098461151,-0.08258223533630371,0.012874364852905273,-0.07414877414703369,-0.10082188248634338,0.07964876294136047,-0.04123279079794884,-0.13511982560157776,-0.013101935386657715,0.007654599845409393,-0.1192091703414917,-0.06324121356010437,-0.06119418516755104,-0.13103225827217102,0.005975216627120972,-0.05310652777552605,-0.1416410207748413,0.06069883704185486,-0.025632742792367935
6,-0.1846013069152832,0.26114094257354736,0.0442468523979187,-0.08601734042167664,0.23780018091201782,-0.017589975148439407,-0.0016077160835266113,0.1808750033378601,-0.051034245640039444,0.00804227590560913,0.09350395202636719,-0.08284357190132141,-0.020079195499420166,0.01670631766319275,-0.11315381526947021,0.07067704200744629,0.030494481325149536,0.00022274255752563477,0.18299925327301025,-0.05798858404159546,-0.04537766054272652,0.24972814321517944,-0.11468854546546936,-0.07669313251972198,0.30231958627700806,-0.16842421889305115,-0.09915818274021149,0.0,0.0,0.0,0.03587770462036133,-0.09131890535354614,-0.07795372605323792,-0.005233049392700195,-0.015043526887893677,-0.10668173432350159,-0.03352618217468262,0.04618340730667114,-0.10784432291984558,-0.07271993160247803,-0.009637057781219482,-0.006507225334644318,-0.05056130886077881,-0.07359716296195984,-0.08616667985916138,-0.07284030318260193,0.013041496276855469,-0.08539165556430817,-0.09104809165000916,0.07303619384765625,-0.06272892653942108,-0.14483433961868286,-0.0013484060764312744,-0.017694707959890366,-0.11724323034286499,-0.05779680609703064,-0.07191435992717743,-0.12167009711265564,0.004296720027923584,-0.06398603320121765,-0.1308661699295044,0.05445539951324463,-0.04322602227330208
7,-0.1906290352344513,0.25289177894592285,0.04762330651283264,-0.0958108901977539,0.24075591564178467,-0.02103421837091446,-0.01061922311782837,0.18558239936828613,-0.05637424439191818,-2.562999725341797e-06,0.10010063648223877,-0.08793450146913528,-0.022653639316558838,0.024427682161331177,-0.11752230674028397,0.06808370351791382,0.03208339214324951,-0.00404893234372139,0.1813105344772339,-0.05255851149559021,-0.05217213183641434,0.24932324886322021,-0.10877317190170288,-0.08546028286218643,0.303744912147522,-0.15979036688804626,-0.1087084636092186,0.0,0.0,0.0,0.03552699089050293,-0.08900344371795654,-0.08242910355329514,-0.01292651891708374,-0.014281153678894043,-0.11391054838895798,-0.04436010122299194,0.048163771629333496,-0.11490591615438461,-0.07035866379737854,-0.01156151294708252,-0.0023983046412467957,-0.05300414562225342,-0.0681547224521637,-0.08392385393381119,-0.08057713508605957,0.016107618808746338,-0.08624432235956192,-0.09901142120361328,0.07643187046051025,-0.06441208720207214,-0.13849088549613953,-0.004316389560699463,-0.009841334074735641,-0.11807781457901001,-0.053175896406173706,-0.06507335603237152,-0.12650159001350403,0.008181989192962646,-0.05964939296245575,-0.13414695858955383,0.05758768320083618,-0.0398501455783844
